,zipcode,Avg Adj Gross Income,%Elderly,%Single,%Joint,%HeadofH,avgDep
16576,56681,49.608333333333334,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.6666666666666666
16577,56683,62.93333333333333,0.30303030303030304,0.3333333333333333,0.5454545454545454,0.09090909090909091,0.5757575757575758
16578,56684,50.54705882352941,0.35294117647058826,0.4117647058823529,0.47058823529411764,0.0,0.5882352941176471
16579,56686,44.96279069767442,0.3023255813953488,0.46511627906976744,0.4186046511627907,0.09302325581395349,0.46511627906976744
16580,56701,55.86729559748428,0.26257861635220126,0.49528301886792453,0.3757861635220126,0.11477987421383648,0.529874213836478
16581,56710,58.97727272727273,0.2727272727272727,0.4090909090909091,0.5,0.09090909090909091,0.6363636363636364
16582,56713,64.21333333333334,0.3333333333333333,0.4444444444444444,0.4888888888888889,0.044444444444444446,0.6
16583,56714,45.107142857142854,0.25,0.44642857142857145,0.44642857142857145,0.10714285714285714,0.5357142857142857
16584,56715,57.923529411764704,0.35294117647058826,0.47058823529411764,0.47058823529411764,0.0,0.5882352941176471
16585,56716,53.101240694789084,0.2803970223325062,0.5161290322580645,0.36476426799007444,0.10669975186104218,0.5508684863523573
16586,56721,60.82718052738337,0.23935091277890466,0.46247464503042596,0.4239350912778905,0.10141987829614604,0.6470588235294118
16587,56722,57.57222222222222,0.3333333333333333,0.5,0.4444444444444444,0.0,0.5
16588,56723,72.50212765957447,0.2553191489361702,0.44680851063829785,0.46808510638297873,0.06382978723404255,0.6382978723404256
16589,56725,50.61860465116279,0.27906976744186046,0.4186046511627907,0.5116279069767442,0.06976744186046512,0.6046511627906976
16590,56726,47.284,0.28,0.4666666666666667,0.44,0.08,0.52
16591,56727,49.36470588235294,0.38235294117647056,0.4411764705882353,0.4411764705882353,0.08823529411764706,0.4117647058823529
16592,56728,69.32537313432836,0.3880597014925373,0.4925373134328358,0.44776119402985076,0.05970149253731343,0.44776119402985076
16593,56732,45.49411764705882,0.3333333333333333,0.47058823529411764,0.45098039215686275,0.0784313725490196,0.5490196078431373
16594,56733,67.93,0.4,0.4,0.45,0.0,0.45
16595,56734,42.86190476190476,0.3333333333333333,0.5238095238095238,0.38095238095238093,0.0,0.47619047619047616
16596,56735,52.17027027027027,0.35135135135135137,0.43243243243243246,0.4594594594594595,0.0,0.6486486486486487
16597,56736,67.68333333333334,0.4523809523809524,0.4523809523809524,0.5238095238095238,0.0,0.35714285714285715
16598,56737,46.2,0.375,0.45,0.425,0.1,0.425
16599,56738,55.03934426229508,0.2786885245901639,0.39344262295081966,0.5081967213114754,0.08196721311475409,0.6229508196721312
16600,56742,50.543243243243246,0.24324324324324326,0.43243243243243246,0.43243243243243246,0.13513513513513514,0.6756756756756757
16601,56744,63.912,0.24,0.48,0.4,0.12,0.72
16602,56748,54.2,0.3333333333333333,0.5185185185185185,0.4444444444444444,0.1111111111111111,0.5925925925925926
16603,56750,53.96016949152543,0.3050847457627119,0.4491525423728814,0.4576271186440678,0.0847457627118644,0.5423728813559322
16604,56751,58.3925,0.28214285714285714,0.4607142857142857,0.44285714285714284,0.08571428571428572,0.5714285714285714
16605,56754,52.925,0.2916666666666667,0.4166666666666667,0.4583333333333333,0.08333333333333333,0.5833333333333334
16606,56756,49.46176470588235,0.17647058823529413,0.4411764705882353,0.5,0.11764705882352941,0.7941176470588235
16607,56757,60.42727272727273,0.38636363636363635,0.5,0.4318181818181818,0.045454545454545456,0.5227272727272727
16608,56758,56.463157894736845,0.3157894736842105,0.47368421052631576,0.42105263157894735,0.0,0.47368421052631576
